doc_id,permit_num,code,tier,score,name,description,reasons
7941817,24-04876-RNVS,RNVS,strict,123,617 Dauphine - RCC Stamped.pdf,"EXTERIOR REPAIRS AND IMPROVEMENT: Exterior repairs and Replace approximately 9' soffit paint soffit and also paint fascia at second floor front facade Paint electrical conduit at front facade *not painting front wall or shutters Repair and repaint soffit on rear balcony of main building New layer of composite tongue and groove decking with ice and water shield underlayment and stainless steel hardware, also installing new drip edge Remove and reinstall existing canvas canopy Repair and paint ceiling under rear main building balcony Remove two ceiling fans and reinstall (replacement of ceiling fans optional and TBD) Install four new beams (w/Simpson CBH concealed beam hangers) under purllns with for knee braces at rear left balcony and paint ALL WORK TO BE DONE AS PER PLANS.",strict primary-plan filename | relevant permit scope | renovation permit
7362713,24-06946-RNVS,RNVS,strict,123,403 Royal - VCC and RCC Stamped.pdf,Install 2 wall ties in the upper entabulature of the exterior wall for support. All work to be done as per plans and VCC approval.,strict primary-plan filename | relevant permit scope | renovation permit
7292349,24-06975-RNVS,RNVS,strict,123,240521_740 Royal - Structural_v5 (RCC stamped)).pdf,"EXTERIOR RENOVATION OF AN EXISTING 3 STORY MIXED USE STRUCTURE. THIS IS A HISTORICAL TAX CREDIT PROJECT. INTERIOR RENOVATION WORK IS UNDER A SEPERATE PERMIT. replacement in kind of windows/doors, rebuilding of interior galleries, and code upgrades to street side guardrails. RELATED PERMITS: INTERIOR DEMO #22-08364-DEMI RE-ROOF #22-24623-VCGEN INTERIOR RENO REF CODE FBGCCA",strict primary-plan filename | relevant permit scope | renovation permit
7479962,24-08485-RNVS,RNVS,strict,123,4628-30 Downman Road Permitting 24_0323 (RCC stamped).pdf,Renovation (Structural) for an existing building of a two tenant commercial space (white box) per drawings.,strict primary-plan filename | relevant permit scope | renovation permit
7558049,24-14430-RNVS,RNVS,strict,123,5100 Pontch 24-14430 SP RCC STAMPED (1).pdf,"Interior renovation to existing building that received minor smoke and water damage. New reconstruction of wood framed building on existing slab. New construction of non-combustible building on existing slab, new construction on new pile-supported slab",strict primary-plan filename | relevant permit scope | renovation permit
7820245,24-16471-RNVS,RNVS,strict,123,333 N Diamond St - HDLC and RCC Stamped.pdf,"Change of Use and Renovation: An existing warehouse that will be renovated, structurally modified, and will become an 8 unit group lodging hotel. All work to be done as per plans. NO USE OR OCCUPANCY UNDER THIS TCO",strict primary-plan filename | relevant permit scope | renovation permit
7335137,24-18304-RNVS,RNVS,strict,123,OPSB Samuel J. Green Elem. School Construction Documents.PDF,"Removal and replacement of existing rooftop chiller equipment, air handling units serving cafetorium and addition of a redundant chiller as well as asscociated electrical work and pumps to bring new mechanical equipment into service in existing three story school building. Scope also includes structural modifications to existing roof-top dunnage support framing to accommodate new equipment, roof access ladder, fall protection railing, walk-off mats, pipe supports and limited modifications to existing modified bitumen roof (under warranty), removal and replacement of exterior door frames&trim and construction of acoustical enclosures for air handlers ar cafetorium.",strict primary-plan filename | relevant permit scope | renovation permit
7538714,24-18915-RNVS,RNVS,strict,123,2438 St Claude 24-18915 SP RCC STAMPED (1).pdf,"conversion of 3 commercial STRs upstairs into expansion of existing downstairs restaurant. 2 new kitchen hoods and venting, relocated intr.AC to rooftop, new dining/kitchen/dining bar/seating/storage/toilets upstairs. new walk-in cooler in rear yard. interior demolition permit issued already. building is fully sprinklered w/ NFPA 13 supervised system.",strict primary-plan filename | relevant permit scope | renovation permit
7429533,24-19323-RNVS,RNVS,strict,123,929 Decatur - VCC and RCC Stamped.pdf,Rebuild last 2 bays of roof framing due to termite damage & Re-roof termite damaged portion of existing roof. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
8286107,24-19673-RNVS,RNVS,strict,123,1550 N Broad - HDLC and RCC Stamped.pdf,"1,378 SF addition to existing Law Office. To be built as per plans.",strict primary-plan filename | relevant permit scope | renovation permit
7890591,24-21748-RNVS,RNVS,strict,123,P-1__rev2119Louisiana_NH (RCC stamped).pdf,"Mixed Use retail/residential - remodel the entire building including the framing,plumbling,electrical,and mechanical",strict primary-plan filename | relevant permit scope | renovation permit
7580625,24-21891-RNVS,RNVS,strict,123,14601 OGR 24-21891 SP RCC STAMPED.pdf,"Renovate existing warehouse 5 by replacing the interior columns, install new concrete foundations for MCC rooms and HVAC equipment, install new pile supported foundation for future process equipment install new metal stud walls. *FINAL INSPECTION* FEMA EC +4.5 NAVD",strict primary-plan filename | relevant permit scope | renovation permit
